"title","genre","director","year","duration","gross","budget","cast_facebook_likes","votes","reviews","rating","duration2"
"Blood Work","Action","Clint Eastwood",2002,110,26199517,50000000,18635,34356,406,6.4,"[100,120)"
"Star Trek: Nemesis","Action","Stuart Baird",2002,116,43119879,60000000,31224,58450,1014,6.4,"[100,120)"
"The Sum of All Fears","Action","Phil Alden Robinson",2002,124,118471320,68000000,12556,86504,744,6.4,"[120,280]"
"Welcome to Collinwood","Comedy","Anthony Russo",2002,86,333976,12000000,1373,12559,162,6.4,"[ 63,100)"
"Brown Sugar","Comedy","Rick Famuyiwa",2002,109,27362712,8000000,3199,5971,97,6.5,"[100,120)"
"Big Trouble","Comedy","Barry Sonnenfeld",2002,74,7262288,40000000,13917,17307,273,6.5,"[ 63,100)"
"Stolen Summer","Drama","Pete Jones",2002,91,119841,1500000,3901,2419,86,6.5,"[ 63,100)"
"The Good Girl","Drama","Miguel Arteta",2002,93,14015786,5000000,27646,37952,405,6.5,"[ 63,100)"
"The Mothman Prophecies","Drama","Mark Pellington",2002,119,35228696,32000000,1651,63677,626,6.5,"[100,120)"
"Changing Lanes","Drama","Roger Michell",2002,91,66790248,45000000,758,57281,517,6.5,"[ 63,100)"
"Jonah: A VeggieTales Movie","Adventure","Mike Nawrocki",2002,82,25571351,14000000,49,3135,116,6.6,"[ 63,100)"
"Jackass: The Movie","Comedy","Jeff Tremaine",2002,87,64267897,5000000,1770,67992,433,6.6,"[ 63,100)"
"My Big Fat Greek Wedding","Comedy","Joel Zwick",2002,95,241437427,5000000,1495,102071,924,6.6,"[ 63,100)"
"Hollywood Ending","Comedy","Woody Allen",2002,112,4839383,16000000,12766,21613,257,6.6,"[100,120)"
"Interview with the Assassin","Drama","Neil Burger",2002,88,47329,750000,243,1661,62,6.6,"[ 63,100)"
"Blade II","Action","Guillermo del Toro",2002,117,81645152,54000000,15371,158267,783,6.7,"[100,120)"
"Star Wars: Episode II - Attack of the Clones","Action","George Lucas",2002,142,310675583,115000000,42990,464310,3800,6.7,"[120,280]"
"The Rules of Attraction","Comedy","Roger Avary",2002,110,6525762,4000000,19928,44339,568,6.7,"[100,120)"
"May","Drama","Lucky McKee",2002,93,145540,500000,2489,26773,391,6.7,"[ 63,100)"
"Blue Car","Drama","Karen Moncrieff",2002,88,464126,1000000,1641,3142,112,6.7,"[ 63,100)"
"Tuck Everlasting","Drama","Jay Russell",2002,90,19158074,15000000,2661,17983,196,6.7,"[ 63,100)"
"Moonlight Mile","Drama","Brad Silberling",2002,112,6830957,21000000,16692,11983,258,6.7,"[100,120)"
"Unfaithful","Drama","Adrian Lyne",2002,124,52752475,50000000,2583,63067,685,6.7,"[120,280]"
"Signs","Drama","M. Night Shyamalan",2002,106,227965690,72000000,1675,271592,2543,6.7,"[100,120)"
"One Hour Photo","Drama","Mark Romanek",2002,96,31597131,12000000,52138,97938,812,6.8,"[ 63,100)"
"Sunshine State","Drama","John Sayles",2002,141,3064356,5600000,2584,3433,149,6.9,"[120,280]"
"The Emperor's Club","Drama","Michael Hoffman",2002,109,14060950,12500000,14347,14354,222,6.9,"[100,120)"
"Spirit: Stallion of the Cimarron","Adventure","Kelly Asbury",2002,83,73215310,80000000,14261,44143,322,7,"[ 63,100)"
"Real Women Have Curves","Comedy","Patricia Cardoso",2002,90,5844929,3000000,2510,6000,184,7,"[ 63,100)"
"Igby Goes Down","Comedy","Burr Steers",2002,99,4681503,9000000,2478,29058,374,7,"[ 63,100)"
"Poolhall Junkies","Drama","Mars Callahan",2002,99,562059,4000000,3130,8535,154,7,"[ 63,100)"
"The Rookie","Drama","John Lee Hancock",2002,127,75597042,20000000,6657,26434,266,7,"[120,280]"
"8 Mile","Drama","Curtis Hanson",2002,110,116724075,41000000,1954,187181,683,7,"[100,120)"
"We Were Soldiers","Action","Randall Wallace",2002,124,78120196,75000000,6181,103241,883,7.1,"[120,280]"
"Treasure Planet","Adventure","Ron Clements",2002,95,38120554,140000000,26940,71527,344,7.1,"[ 63,100)"
"Secretary","Comedy","Steven Shainberg",2002,104,4046737,4000000,2251,67949,553,7.1,"[100,120)"
"The Dangerous Lives of Altar Boys","Comedy","Peter Care",2002,104,1779284,12000000,1292,12047,200,7.1,"[100,120)"
"Lilo & Stitch","Adventure","Dean DeBlois",2002,85,145771527,80000000,3112,117212,547,7.2,"[ 63,100)"
"About Schmidt","Comedy","Alexander Payne",2002,125,65010106,30000000,1556,107557,829,7.2,"[120,280]"
"Chicago","Comedy","Rob Marshall",2002,113,170684505,45000000,813,172080,1240,7.2,"[100,120)"
"White Oleander","Drama","Peter Kosminsky",2002,109,16346122,16000000,2572,25549,274,7.2,"[100,120)"
"Insomnia","Drama","Christopher Nolan",2002,118,67263182,46000000,15658,218771,836,7.2,"[100,120)"
"Spider-Man","Action","Sam Raimi",2002,121,403706375,139000000,40484,544665,2303,7.3,"[120,280]"
"Punch-Drunk Love","Comedy","Paul Thomas Anderson",2002,95,17791031,25000000,11994,109855,1139,7.3,"[ 63,100)"
"A Walk to Remember","Drama","Adam Shankman",2002,101,41227069,11000000,2436,162701,1042,7.4,"[100,120)"
"Far from Heaven","Drama","Todd Haynes",2002,107,15854988,13500000,2447,36542,559,7.4,"[100,120)"
"Equilibrium","Action","Kurt Wimmer",2002,107,1190018,20000000,25088,261317,1283,7.5,"[100,120)"
"Ice Age","Adventure","Chris Wedge",2002,103,176387405,59000000,5437,328159,660,7.6,"[100,120)"
"The Hours","Drama","Stephen Daldry",2002,114,41597830,25000000,12624,102123,834,7.6,"[100,120)"
"Minority Report","Action","Steven Spielberg",2002,145,132014112,102000000,12546,399651,1583,7.7,"[120,280]"
"Adaptation.","Comedy","Spike Jonze",2002,81,22245861,19000000,25489,143251,951,7.7,"[ 63,100)"
"25th Hour","Drama","Spike Lee",2002,108,13060843,15000000,26050,149528,656,7.7,"[100,120)"
"The Bourne Identity","Action","Doug Liman",2002,119,121468960,60000000,13249,407601,1098,7.9,"[100,120)"
"The Lord of the Rings: The Two Towers","Action","Peter Jackson",2002,172,340478898,94000000,23052,1100446,2711,8.7,"[120,280]"
"From Justin to Kelly","Comedy","Robert Iscove",2003,90,4922166,12000000,1445,23606,364,2.1,"[ 63,100)"
"Gigli","Comedy","Martin Brest",2003,121,5660084,54000000,286,41620,549,2.4,"[120,280]"
"Marci X","Comedy","Richard Benjamin",2003,80,1646664,20000000,2467,4518,94,2.8,"[ 63,100)"
"The Book of Mormon Movie, Volume 1: The Journey","Adventure","Gary Rogers",2003,120,1098224,2000000,359,397,37,3.3,"[120,280]"
"Dumb and Dumberer: When Harry Met Lloyd","Comedy","Troy Miller",2003,85,26096584,19000000,1653,30651,352,3.4,"[ 63,100)"
"The Cat in the Hat","Adventure","Bo Welch",2003,82,100446895,109000000,2762,36033,565,3.8,"[ 63,100)"
"Spy Kids 3-D: Game Over","Action","Robert Rodriguez",2003,84,111760631,38000000,22935,40227,281,4.1,"[ 63,100)"
"Kangaroo Jack","Action","David McNally",2003,89,66734992,60000000,1233,23476,254,4.4,"[ 63,100)"
"My Boss's Daughter","Comedy","David Zucker",2003,90,15549702,14000000,3007,24038,179,4.6,"[ 63,100)"
"Legally Blonde 2: Red, White & Blonde","Comedy","Charles Herman-Wurmfeld",2003,95,89808372,45000000,3500,46417,430,4.6,"[ 63,100)"
"Gory Gory Hallelujah","Comedy","Sue Corcoran",2003,96,11798,100000,387,179,26,4.7,"[ 63,100)"
"Charlie's Angels: Full Throttle","Action","McG",2003,107,100685880,120000000,4046,100821,656,4.8,"[100,120)"
"The Haunted Mansion","Comedy","Rob Minkoff",2003,88,75817994,90000000,2622,32049,301,4.9,"[ 63,100)"
"Agent Cody Banks","Action","Harald Zwart",2003,102,47285499,26000000,3037,26755,183,5,"[100,120)"
"The Brown Bunny","Drama","Vincent Gallo",2003,93,365734,10000000,883,11487,341,5,"[ 63,100)"
"The Order","Action","Brian Helgeland",2003,102,7659747,38000000,14165,14962,316,5.1,"[100,120)"
"Malibu's Most Wanted","Comedy","John Whitesell",2003,86,34308901,16000000,4435,15939,124,5.1,"[ 63,100)"
"Good Boy!","Comedy","John Hoffman",2003,87,37566230,17000000,2164,3407,100,5.1,"[ 63,100)"
"Hollywood Homicide","Action","Ron Shelton",2003,116,30013346,75000000,14028,31293,386,5.3,"[100,120)"
"The Lizzie McGuire Movie","Adventure","Jim Fall",2003,94,42672630,17000000,3423,27580,238,5.3,"[ 63,100)"
